Document,DI,TotalCitation,TCperYear,NormalizedTC
"Tun T.Z., 2024, Tropical Medicine and Health",10.1186/s41182-024-00592-6,0,0.0,0.0
"Twycross R., 2024, BMC Palliative Care",10.1186/s12904-024-01422-6,0,0.0,0.0
"Udas S., 2024, BMC Public Health",10.1186/s12889-024-18690-9,0,0.0,0.0
"Ugwu L.E., 2024, Scientific Reports",10.1038/s41598-024-60882-1,0,0.0,0.0
"Ukert B., 2024, BMC Health Services Research",10.1186/s12913-024-10898-0,0,0.0,0.0
"Unger M., 2024, Genome Medicine",10.1186/s13073-024-01315-6,0,0.0,0.0
"Urgessa F., 2024, BMC Cancer",10.1186/s12885-024-12282-x,0,0.0,0.0
"Utalo D., 2024, BMC Health Services Research",10.1186/s12913-024-10813-7,0,0.0,0.0
"Utpat S., 2024, Epidemiology and Infection",10.1017/S0950268823001917,0,0.0,0.0
"Vahedian-Azimi A., 2024, International Journal of Emergency Medicine",10.1186/s12245-024-00608-2,0,0.0,0.0
"Valente M., 2024, Conflict and Health",10.1186/s13031-024-00594-5,0,0.0,0.0
"Vallone F., 2024, BMC Psychology",10.1186/s40359-024-01676-y,0,0.0,0.0
"Van Eekert N., 2024, BMC Women's Health",10.1186/s12905-024-03079-y,0,0.0,0.0
"Varaei S., 2024, BMC Nursing",10.1186/s12912-024-01859-3,0,0.0,0.0
"Veronese N., 2024, Aging Clinical and Experimental Research",10.1007/s40520-024-02747-1,0,0.0,0.0
"Vicentini C., 2024, Antimicrobial Resistance and Infection Control",10.1186/s13756-024-01398-1,0,0.0,0.0
"Vivekrabinson K., 2024, Journal of Medical Systems",10.1007/s10916-024-02053-3,0,0.0,0.0
"Vogt K.S., 2024, BMC Health Services Research",10.1186/s12913-023-10468-w,0,0.0,0.0
"Volkow P., 2024, Antimicrobial Resistance and Infection Control",10.1186/s13756-024-01390-9,0,0.0,0.0
"Vonken L., 2024, BMC Health Services Research",10.1186/s12913-024-10878-4,0,0.0,0.0
"Wagner W., 2024, Orphanet Journal of Rare Diseases",10.1186/s13023-024-03109-w,0,0.0,0.0
"Walid R., 2024, Scientific Reports",10.1038/s41598-024-57692-w,0,0.0,0.0
"Wandera S.O., 2024, BMC Health Services Research",10.1186/s12913-024-10741-6,0,0.0,0.0
"Sakuma Y., 2024, Trials",10.1186/s13063-024-08108-7,0,0.0,0.0
"Wang H., 2024, BMC Health Services Research",10.1186/s12913-024-10777-8,0,0.0,0.0
"Wang H.-Y., 2024, BMC Pulmonary Medicine",10.1186/s12890-024-02947-5,0,0.0,0.0
"Wang J., 2024, Global Health Research and Policy",10.1186/s41256-024-00350-5,0,0.0,0.0
"Wang J., 2024, Humanities and Social Sciences Communications",10.1057/s41599-024-03076-4,0,0.0,0.0
"Wang J., 2024, International Journal of Computational Intelligence Systems",10.1007/s44196-024-00489-6,0,0.0,0.0
"Wang M., 2024, Antimicrobial Resistance and Infection Control",10.1186/s13756-024-01392-7,0,0.0,0.0
"Wang R., 2024, Scientific Reports",10.1038/s41598-024-59132-1,0,0.0,0.0
"Wangler J., 2024, Archives of Public Health",10.1186/s13690-024-01272-x,0,0.0,0.0
"Warp P.V., 2024, Harm Reduction Journal",10.1186/s12954-024-00978-z,0,0.0,0.0
"Washirasaksiri C., 2024, Scientific Reports",10.1038/s41598-024-58739-8,0,0.0,0.0
"Watson J., 2024, BMC Health Services Research",10.1186/s12913-024-11035-7,0,0.0,0.0
"Weber V., 2024, BMC Health Services Research",10.1186/s12913-024-10819-1,0,0.0,0.0
"Wechsler J.R., 2024, BMC Medical Education",10.1186/s12909-024-05417-y,0,0.0,0.0
"Wei D., 2024, Journal of Headache and Pain",10.1186/s10194-024-01763-w,0,0.0,0.0
"Wen X., 2024, BMC Pediatrics",10.1186/s12887-024-04763-6,0,0.0,0.0
"Wennekes M.D., 2024, Archives of Public Health",10.1186/s13690-024-01278-5,0,0.0,0.0
"Westerheim I., 2024, Orphanet Journal of Rare Diseases",10.1186/s13023-024-03126-9,0,0.0,0.0
"Wiedermann C.J., 2024, Trials",10.1186/s13063-024-08041-9,0,0.0,0.0
"Wiik A.B., 2024, BMC Health Services Research",10.1186/s12913-024-10879-3,0,0.0,0.0
"Wiles L., 2024, BMC Health Services Research",10.1186/s12913-024-10795-6,0,0.0,0.0
"Wilkens J., 2024, International Journal for Equity in Health",10.1186/s12939-024-02184-6,0,0.0,0.0
"Willem L., 2024, BMC Public Health",10.1186/s12889-024-18576-w,0,0.0,0.0
"Williams N.J., 2024, Implementation Science",10.1186/s13012-024-01356-w,0,0.0,0.0
"Wilson L.M., 2024, BMC Pediatrics",10.1186/s12887-024-04751-w,0,0.0,0.0
"Wolde H.M., 2024, BMC Pulmonary Medicine",10.1186/s12890-024-02950-w,0,0.0,0.0
"Woldegeorgis B.Z., 2024, BMC Infectious Diseases",10.1186/s12879-024-09366-1,0,0.0,0.0
"Wolever R.Q., 2024, BMC Health Services Research",10.1186/s12913-024-10704-x,0,0.0,0.0
"Wong B., 2024, BMC Geriatrics",10.1186/s12877-024-04919-0,0,0.0,0.0
"Woolf C., 2024, BMC Psychiatry",10.1186/s12888-023-05391-7,0,0.0,0.0
"Worsfold M.E., 2024, BMC Medical Education",10.1186/s12909-024-05319-z,0,0.0,0.0
"Wright D.N., 2024, Scientific Reports",10.1038/s41598-024-58019-5,0,0.0,0.0
"Wu J.-J., 2024, International Breastfeeding Journal",10.1186/s13006-024-00630-3,0,0.0,0.0
"Wu X., 2024, Nature Communications",10.1038/s41467-024-47211-w,0,0.0,0.0
"Wu Y., 2024, Cost Effectiveness and Resource Allocation",10.1186/s12962-024-00539-y,0,0.0,0.0
"Wu Y.-H., 2024, Scientific Reports",10.1038/s41598-024-56692-0,0,0.0,0.0
"Wu Z., 2024, Communications Materials",10.1038/s43246-024-00468-6,0,0.0,0.0
"Wéber A., 2024, World Journal of Urology",10.1007/s00345-024-04949-8,0,0.0,0.0
"Xia Y., 2024, BMC Medical Informatics and Decision Making",10.1186/s12911-024-02509-z,0,0.0,0.0
"Xiao H., 2024, Scientific Reports",10.1038/s41598-024-59397-6,0,0.0,0.0
"Xiao Y., 2024, BMC Medical Research Methodology",10.1186/s12874-024-02214-5,0,0.0,0.0
"Abubeker K.M., 2024, Scientific Reports",10.1038/s41598-024-56677-z,0,0.0,0.0
"Xing L., 2024, BMC Nursing",10.1186/s12912-024-01828-w,0,0.0,0.0
"Xiong Y., 2024, BMC Health Services Research",10.1186/s12913-024-10941-0,0,0.0,0.0
"Xu F., 2024, Annals of General Psychiatry",10.1186/s12991-024-00497-y,0,0.0,0.0
"Xu J., 2024, BMC Infectious Diseases",10.1186/s12879-024-09237-9,0,0.0,0.0
"Xu J., 2024, BMC Palliative Care",10.1186/s12904-024-01371-0,0,0.0,0.0
"Yadeta T.A., 2024, BMC Medical Education",10.1186/s12909-024-05486-z,0,0.0,0.0
"Yagisawa T., 2024, Renal Replacement Therapy",10.1186/s41100-024-00544-0,0,0.0,0.0
"Yalamchi F., 2024, BMC Geriatrics",10.1186/s12877-024-04839-z,0,0.0,0.0
"Yamamoto K., 2024, BMC Nursing",10.1186/s12912-024-01900-5,0,0.0,0.0
"Yan W., 2024, BMC Nursing",10.1186/s12912-024-01924-x,0,0.0,0.0
"Yanagisawa Y., 2024, Journal of Pharmaceutical Health Care and Sciences",10.1186/s40780-024-00339-9,0,0.0,0.0
"Yang S.-H., 2024, BMC Nursing",10.1186/s12912-024-01978-x,0,0.0,0.0
"Yaow C.Y.L., 2024, BMC Health Services Research",10.1186/s12913-024-10998-x,0,0.0,0.0
"Yehualashet F.A., 2024, Pilot and Feasibility Studies",10.1186/s40814-024-01487-3,0,0.0,0.0
"Yi J., 2024, Computational and Structural Biotechnology Journal",10.1016/j.csbj.2024.04.028,0,0.0,0.0
"Yi Z., 2024, BMC Public Health",10.1186/s12889-024-18431-y,0,0.0,0.0
"Yildiz B., 2024, BMC Palliative Care",10.1186/s12904-024-01423-5,0,0.0,0.0
"Yin J., 2024, BMC Sports Science, Medicine and Rehabilitation",10.1186/s13102-024-00876-8,0,0.0,0.0
"Yin Z., 2024, BMC Health Services Research",10.1186/s12913-024-10733-6,0,0.0,0.0
"Yoo H.J., 2024, Computational and Structural Biotechnology Journal",10.1016/j.csbj.2024.03.001,0,0.0,0.0
"Younesi S., 2024, Health in Emergencies and Disasters Quarterly",10.32598/hdq.9.2.560.1,0,0.0,0.0
"Young F., 2024, BMC Primary Care",10.1186/s12875-024-02337-0,0,0.0,0.0
"Yu H., 2024, Orphanet Journal of Rare Diseases",10.1186/s13023-024-03178-x,0,0.0,0.0
"Yu J., 2024, World Journal of Surgical Oncology",10.1186/s12957-024-03348-y,0,0.0,0.0
"Yu Z.-H., 2024, BMC Infectious Diseases",10.1186/s12879-024-09246-8,0,0.0,0.0
"Yuan D., 2024, BMC Public Health",10.1186/s12889-024-18654-z,0,0.0,0.0
"Yue H., 2024, Nature Communications",10.1038/s41467-024-46969-3,0,0.0,0.0
"Yue L.-H., 2024, BMC Health Services Research",10.1186/s12913-024-10945-w,0,0.0,0.0
"Adami G., 2024, Scientific Reports",10.1038/s41598-024-56787-8,0,0.0,0.0
"Yıldız N.G., 2024, BMC Public Health",10.1186/s12889-024-18612-9,0,0.0,0.0
"Zampatti N., 2024, Italian Journal of Pediatrics",10.1186/s13052-024-01659-0,0,0.0,0.0
"Zapata Mayor J.C., 2024, International Journal for Equity in Health",10.1186/s12939-023-01859-w,0,0.0,0.0
"Zemni I., 2024, BMC Infectious Diseases",10.1186/s12879-023-08949-8,0,0.0,0.0
"Zeraatkhah H., 2024, BMC Nursing",10.1186/s12912-024-01733-2,0,0.0,0.0
"Zerr B.A., 2024, Allergy, Asthma and Clinical Immunology",10.1186/s13223-024-00888-6,0,0.0,0.0
"Zewde H.K., 2024, BMC Pregnancy and Childbirth",10.1186/s12884-024-06482-3,0,0.0,0.0
"Zhai R.N., 2024, BMC Nursing",10.1186/s12912-024-01873-5,0,0.0,0.0
"Zhang B., 2024, BMC Public Health",10.1186/s12889-024-18350-y,0,0.0,0.0
"Zhang D., 2024, BMC Nursing",10.1186/s12912-024-01911-2,0,0.0,0.0
"Zhang J., 2024, BMC Pregnancy and Childbirth",10.1186/s12884-024-06437-8,0,0.0,0.0
"Zhang J., 2024, BMC Public Health",10.1186/s12889-024-18411-2,0,0.0,0.0
"Zhang L., 2024, Critical Care",10.1186/s13054-024-04902-6,0,0.0,0.0
"Zhang L., 2024, Journal of Nanobiotechnology",10.1186/s12951-024-02445-0,0,0.0,0.0
"Zhang L., 2024, Scientific Reports",10.1038/s41598-024-59785-y,0,0.0,0.0
"Zhang S., 2024, BMC Nursing",10.1186/s12912-024-01920-1,0,0.0,0.0
"Zhang S., 2024, Diabetology and Metabolic Syndrome",10.1186/s13098-024-01339-3,0,0.0,0.0
"Zhang S., 2024, Knee Surgery and Related Research",10.1186/s43019-024-00218-5,0,0.0,0.0
"Zhang W., 2024, BMC Health Services Research",10.1186/s12913-024-10955-8,0,0.0,0.0
"Zhang X., 2024, BMC Psychiatry",10.1186/s12888-024-05687-2,0,0.0,0.0
"Zhang Y., 2024, BMC Public Health",10.1186/s12889-024-18513-x,0,0.0,0.0
"Zhang Y., 2024, npj Flexible Electronics",10.1038/s41528-024-00310-6,0,0.0,0.0
", 2024, Nature Communications",10.1038/s41467-024-46567-3,0,0.0,0.0
"Zhao B.-Y., 2024, BMC Public Health",10.1186/s12889-024-18324-0,0,0.0,0.0
"Zhao L., 2024, Hereditary Cancer in Clinical Practice",10.1186/s13053-024-00278-4,0,0.0,0.0
"Zhao Q., 2024, BMC Infectious Diseases",10.1186/s12879-024-09288-y,0,0.0,0.0
"Zhao X., 2024, Scientific Reports",10.1038/s41598-024-57788-3,0,0.0,0.0
"Zhao Y.-C., 2024, Environmental Sciences Europe",10.1186/s12302-024-00923-8,0,0.0,0.0
"Zheng Z., 2024, Archives of Public Health",10.1186/s13690-024-01275-8,0,0.0,0.0
"Zhou J., 2024, Scientific Reports",10.1038/s41598-024-57671-1,0,0.0,0.0
"Zhou M., 2024, Scientific Reports",10.1038/s41598-024-58660-0,0,0.0,0.0
"Zhou Y., 2024, Collagen and leather",10.1186/s42825-024-00160-y,0,0.0,0.0
"Zhu L.-W., 2024, BMC Oral Health",10.1186/s12903-024-04226-5,0,0.0,0.0
"Zittleman L., 2024, BMC Primary Care",10.1186/s12875-024-02365-w,0,0.0,0.0
"Zobi M., 2024, International Journal for Equity in Health",10.1186/s12939-024-02138-y,0,0.0,0.0
"Zubair Rahman A.M.J., 2024, BMC Medical Informatics and Decision Making",10.1186/s12911-024-02519-x,0,0.0,0.0
"da Costa Miranda A.L., 2024, Scientific Reports",10.1038/s41598-024-59461-1,0,0.0,0.0
"Abbasian M., 2024, npj Digital Medicine",10.1038/s41746-024-01074-z,0,0.0,0.0
"Abdolalipour S., 2024, BMC Health Services Research",10.1186/s12913-024-10689-7,0,0.0,0.0
"de Fougerolles T.R., 2024, BMC Public Health",10.1186/s12889-024-18694-5,0,0.0,0.0
"de Girolamo G., 2024, International Journal of Bipolar Disorders",10.1186/s40345-024-00337-8,0,0.0,0.0
"do Carmo Leal M., 2024, BMC Public Health",10.1186/s12889-024-18109-5,0,0.0,0.0
"ter Meulen B.C., 2024, BMC Musculoskeletal Disorders",10.1186/s12891-024-07366-5,0,0.0,0.0
"van Doornik R.S., 2024, BMC Psychiatry",10.1186/s12888-024-05649-8,0,0.0,0.0
"van Houten M.E., 2024, BMC Emergency Medicine",10.1186/s12873-024-00971-6,0,0.0,0.0
"van Klaveren L.-M., 2024, BMC Medical Education",10.1186/s12909-024-05304-6,0,0.0,0.0
"van Lieshout C., 2024, Cost Effectiveness and Resource Allocation",10.1186/s12962-024-00529-0,0,0.0,0.0
"van Rooyen I., 2024, BMC Medical Education",10.1186/s12909-024-05414-1,0,0.0,0.0
"van de Riet L., 2024, PEC Innovation",10.1016/j.pecinn.2024.100280,0,0.0,0.0
"van de Voort I., 2024, BMC Health Services Research",10.1186/s12913-024-10924-1,0,0.0,0.0
"van de Water B.J., 2024, Implementation Science Communications",10.1186/s43058-024-00582-z,0,0.0,0.0
"van den Burg E.L., 2024, BMC Primary Care",10.1186/s12875-024-02405-5,0,0.0,0.0
"van der Linden R.R., 2024, BMC Medical Ethics",10.1186/s12910-024-01037-9,0,0.0,0.0
"Wang E.H.-H., 2024, BMC Medical Genomics",10.1186/s12920-024-01850-6,0,0.0,0.0
